year;region;ec_crime_per
2016;Калмыкия;9.01
2016;Калужская область;6.32
2016;Камчатский край;8.92
2016;Карачаево-Черкесия;8.64
2016;Карелия;8.84
2016;Кемеровская область;5.09
2016;Кировская область;7.68
2016;Костромская область;8.87
2016;Краснодарский край;8.09
2016;Красноярский край;5.82
2016;Крым;4.49
2016;Курганская область;8.45
2016;Курская область;5.68
2016;Ленинградская область;4.74
2016;Липецкая область;5.36
2016;Магаданская область;13.26
2016;Марий Эл;5.04
2016;Мордовия;10.54
2016;Москва;7.56
2016;Московская область;5.56
2016;Мурманская область;6.65
2016;Ненецкий автономный округ;7.3
2016;Нижегородская область;5.28
2016;Новгородская область;6.84
2016;Новосибирская область;7.55
2016;Омская область;8.55
2016;Оренбургская область;4.89
2016;Орловская область;7.61
2016;Пензенская область;4.29
2016;Пермский край;6.89
2016;Приморский край;6.18
2016;Псковская область;6.9
2016;Республика Алтай;8.74
2016;Республика Коми;10.15
2016;Республика Тыва;6.46
2016;Ростовская область;6.99
2016;Рязанская область;6.65
2016;Самарская область;6.22
2016;Санкт-Петербург;5.11
2016;Саратовская область;5.79
2016;Сахалинская область;9.85
2016;Свердловская область;6.38
2016;Севастополь;6.44
2016;Северная Осетия;15.39
2016;Смоленская область;7.94
2016;Ставропольский край;11.6
2016;Тамбовская область;6.06
2016;Татарстан;8.36
2016;Тверская область;6.72
2016;Томская область;5.76
2016;Тульская область;6.22
2016;Тюменская область;6.08
2016;Удмуртия;5.71
2016;Ульяновская область;5.29
2016;Хабаровский край;6.28
2016;Хакасия;6.67
2016;Ханты-Мансийский автономный округ;6.45
2016;Челябинская область;6.72
2016;Чечня;3.71
2016;Чувашия;7.92
2016;Чукотский автономный округ;6.58
2016;Якутия;5.11
2016;Ямало-Ненецкий автономный округ;6.23
2016;Ярославская область;5.04
2017;Адыгея;6.51
2017;Алтайский край;4.11
2017;Амурская область;6.22
2017;Архангельская область;8.84
2017;Астраханская область;9.06
2017;Башкортостан;5.44
2017;Белгородская область;5.04
2017;Брянская область;5.01
2017;Бурятия;8.52
2017;Владимирская область;6.63
2017;Волгоградская область;6.58
2017;Вологодская область;7.27
2017;Воронежская область;6.98
2017;Дагестан;7.32
2017;Еврейская автономная область;4.02
2017;Забайкальский край;8.69
2017;Ивановская область;6.52
2017;Ингушетия;4.25
2017;Иркутская область;5.84
2017;Кабардино-Балкария;7.62
2017;Калининградская область;7.35
2017;Калмыкия;8.89
2017;Калужская область;8.45
2017;Камчатский край;8.67
2017;Карачаево-Черкесия;11.23
2017;Карелия;7.24
2017;Кемеровская область;3.86
2017;Кировская область;6.57
2017;Костромская область;7.02
2017;Краснодарский край;7.36
2017;Красноярский край;5.74
2017;Крым;5.57
2017;Курганская область;8.01
2017;Курская область;5.67
2017;Ленинградская область;5.74
2017;Липецкая область;4.96
2017;Магаданская область;15.32
2017;Марий Эл;6.0
2017;Мордовия;8.66
2017;Москва;8.42
2017;Московская область;5.43
2017;Мурманская область;5.9
2017;Ненецкий автономный округ;10.7
2017;Нижегородская область;4.73
2017;Новгородская область;7.4
2017;Новосибирская область;6.79
2017;Омская область;8.54
2017;Оренбургская область;5.68
2017;Орловская область;6.35
2017;Пензенская область;4.54
2017;Пермский край;6.72
2017;Приморский край;6.13
2017;Псковская область;7.12
2017;Республика Алтай;7.79
2017;Республика Коми;11.06
2017;Республика Тыва;6.75
2017;Ростовская область;5.35
2017;Рязанская область;6.18
2017;Самарская область;6.75
2017;Санкт-Петербург;5.55
2017;Саратовская область;6.45
2017;Сахалинская область;10.16
2017;Свердловская область;4.29
2017;Севастополь;8.44
2017;Северная Осетия;12.31
2017;Смоленская область;8.69
2017;Ставропольский край;9.22
2017;Тамбовская область;3.98
2017;Татарстан;6.63
2017;Тверская область;6.44
2017;Томская область;5.24
2017;Тульская область;5.82
2017;Тюменская область;8.21
2017;Удмуртия;6.07
2017;Ульяновская область;5.9
2017;Хабаровский край;6.14
2017;Хакасия;5.23
2017;Ханты-Мансийский автономный округ;6.31
2017;Челябинская область;7.89
2017;Чечня;4.4
2017;Чувашия;8.35
2017;Чукотский автономный округ;6.42
2017;Якутия;5.17
2017;Ямало-Ненецкий автономный округ;6.87
2017;Ярославская область;5.13
