year;region;crime_per
2016;Ханты-Мансийский автономный округ;138.91
2016;Челябинская область;184.47
2016;Чечня;26.7
2016;Чувашия;111.88
2016;Чукотский автономный округ;159.5
2016;Якутия;128.95
2016;Ямало-Ненецкий автономный округ;149.78
2016;Ярославская область;144.67
2017;Адыгея;88.54
2017;Алтайский край;169.32
2017;Амурская область;230.81
2017;Архангельская область;171.09
2017;Астраханская область;131.83
2017;Башкортостан;149.98
2017;Белгородская область;82.07
2017;Брянская область;118.37
2017;Бурятия;239.91
2017;Владимирская область;131.38
2017;Волгоградская область;157.31
2017;Вологодская область;173.09
2017;Воронежская область;139.47
2017;Дагестан;48.02
2017;Еврейская автономная область;219.95
2017;Забайкальский край;250.16
2017;Ивановская область;155.82
2017;Ингушетия;33.43
2017;Иркутская область;191.07
2017;Кабардино-Балкария;77.84
2017;Калининградская область;174.71
2017;Калмыкия;109.0
2017;Калужская область;173.85
2017;Камчатский край;194.93
2017;Карачаево-Черкесия;86.89
2017;Карелия;180.09
2017;Кемеровская область;210.64
2017;Кировская область;163.69
2017;Костромская область;136.59
2017;Краснодарский край;121.46
2017;Красноярский край;177.67
2017;Крым;113.54
2017;Курганская область;209.27
2017;Курская область;105.66
2017;Ленинградская область;102.73
2017;Липецкая область;109.75
2017;Магаданская область;190.36
2017;Марий Эл;107.38
2017;Мордовия;98.47
2017;Москва;113.19
2017;Московская область;113.57
2017;Мурманская область;168.59
2017;Ненецкий автономный округ;177.3
2017;Нижегородская область;129.71
2017;Новгородская область;181.27
2017;Новосибирская область;159.55
2017;Омская область;144.31
2017;Оренбургская область;136.77
2017;Орловская область;117.22
2017;Пензенская область;88.1
2017;Пермский край;167.15
2017;Приморский край;190.41
2017;Псковская область;128.94
2017;Республика Алтай;213.4
2017;Республика Коми;202.61
2017;Республика Тыва;366.28
2017;Ростовская область;139.7
2017;Рязанская область;84.69
2017;Самарская область;137.43
2017;Санкт-Петербург;98.72
2017;Саратовская область;116.3
2017;Сахалинская область;234.93
